rectangleSize,kMeansRGBStrawman,percentage,kmeansHSVStrawman,percentage,kmeansRGBNearestNeighbor,percentage,supportVectorMachineNearestNeighbor,percentage,customNeuralNetworkNearestNeighbor,percentage
43400,36778,84.74,36593,84.32,34763,80.1,37208,85.73,36790,84.77
69498,59464,85.56,61622,88.67,56677,81.55,63350,91.15,63942,92.01
52640,46466,88.27,47334,89.92,43097,81.87,49681,94.38,49995,94.98
70228,62772,89.38,64475,91.81,59999,85.43,66925,95.3,66857,95.2
79680,68102,85.47,69746,87.53,63742,80.0,71647,89.92,70923,89.01
95073,81764,86.0,82799,87.09,77366,81.38,85940,90.39,85739,90.18
138782,121776,87.75,123715,89.14,119637,86.2,128936,92.91,132571,95.52
119070,101323,85.1,103151,86.63,96021,80.64,107614,90.38,110145,92.5
156933,127839,81.46,134006,85.39,123000,78.38,132726,84.57,140819,89.73
104200,78469,75.31,79927,76.71,76549,73.46,79252,76.06,88073,84.52
81081,71956,88.75,71341,87.99,68770,84.82,73182,90.26,74119,91.41
54051,48405,89.55,47474,87.83,42451,78.54,47995,88.8,48403,89.55
79990,72017,90.03,71173,88.98,66711,83.4,71772,89.73,72052,90.08
71371,62730,87.89,62627,87.75,57603,80.71,64547,90.44,65732,92.1
139776,111230,79.58,117360,83.96,104298,74.62,116011,83.0,123829,88.59
61050,55099,90.25,56096,91.89,51950,85.09,56867,93.15,58330,95.54
70788,53693,75.85,59383,83.89,50753,71.7,54891,77.54,63210,89.29
63240,50955,80.57,53869,85.18,49704,78.6,51110,80.82,56501,89.34
40145,28267,70.41,33336,83.04,26646,66.37,32089,79.93,32110,79.99
79315,65473,82.55,68965,86.95,56339,71.03,68246,86.04,72004,90.78
22920,20449,89.22,20172,88.01,18564,80.99,21980,95.9,21328,93.05

